Name,Date,Date Created,Description,Status,Subject,URL
Übersichtsseite erstellen,"November 29, 2022","December 12, 2022 2:43 PM",Artikel lesen und eine Übersichtsseite dazu erstellen,Done 🙌,PGW,https://www.bpb.de/shop/zeitschriften/izpb/198045/facetten-der-modernen-sozialstruktur/
Bildanalyse,"November 29, 2022","December 12, 2022 2:43 PM",,Done 🙌,Kunst,https://ght-hh.de/iserv/exercise/show/10825
Logo bearbeiten,"November 30, 2022","December 12, 2022 2:43 PM",Siehe Discord,Done 🙌,,
Das weiße Band nochmal ansehen,"November 30, 2022","December 12, 2022 2:43 PM",,Done 🙌,Deutsch,
Analysis (Moodle),"December 1, 2022","December 12, 2022 2:43 PM",S. 53 #9 Schulhofgestaltung,Done 🙌,Mathe,https://moodle.ght-hh.de/pluginfile.php/33695/mod_resource/content/0/pdf-lernaufgaben-abitur-analysis.pdf
Genossenschaftsmodelle,"December 1, 2022","December 12, 2022 2:43 PM",Erstellt bitte die Lernblätter für das Thema Genossenschaftsmodelle (historisch und aktuell) bis Donnerstag fertig,Done 🙌,PGW,
Analysis,"December 2, 2022","December 12, 2022 2:43 PM",Analyze how Frederick Douglass conveys the inhumane living conditions he faced as a slave to his readers. (Write at least the introduction with a main claim and the frist paragraph of the main part).,Done 🙌,Englisch,
“The Hate You Give” Soundtrack,"December 2, 2022","December 12, 2022 2:43 PM",,Done 🙌,Englisch,
Lesen und markieren,"December 6, 2022","December 12, 2022 2:43 PM",,Done 🙌,PGW,
Präsentation ins Padlet hochladen,"December 6, 2022","December 12, 2022 2:43 PM",Passwort: FuPQ1S1CsMh,Done 🙌,Kunst,https://padlet.com/Fr_C/KurzreferateEpochen
Fix XAMPP,"December 7, 2022","December 12, 2022 2:43 PM",,Done 🙌,Informatik,
Klimawandel und Auswirkungen auf Geoökosysteme,"December 7, 2022","December 12, 2022 2:43 PM","A: Erklärt den natürlichen und anthropogenen Treibhauseffekt.
B: Erläutert die Rolle des tropischen Regenwaldes für den Treibhauseffekt.
Nutzt hierzu u.a. folgenden Links:
https://www.leifiphysik.de/waermelehre/wetter-und-klima/grundwissen/treibhauseffekt und
https://www.helmholtz-klima.de/faq/verstaerkt-der-mensch-den-natuerlichen-treibhauseffekt
https://www.br.de/nachrichten/wissen/tropische-regenwaelder-speichern-immer-weniger-kohlenstoff,RsMBH6t",Done 🙌,Geographie,https://ght-hh.de/iserv/exercise/show/10850
Klausurthemen,"December 8, 2022","December 12, 2022 2:43 PM",,Done 🙌,Kunst,https://padlet.com/Fr_C/Kunstbetrachtung
Lesen,"December 8, 2022","December 12, 2022 2:43 PM",,Done 🙌,PGW,
Klausurthemen,"December 9, 2022","December 12, 2022 2:43 PM",,Done 🙌,Musik,
Read the cards in the padlet,"December 9, 2022","December 12, 2022 2:43 PM",,Done 🙌,Englisch,https://padlet.com/Miss_Schueler/k1dklxrr1wlxqvly
Datenbank auf V4 updaten,"December 9, 2022","December 12, 2022 2:43 PM",,Done 🙌,Informatik,
Shizzy Hologramm Animation Blender,"December 9, 2022","December 12, 2022 2:43 PM",,Done 🙌,Work,
Klausurthemen,"December 13, 2022","December 12, 2022 2:43 PM",,Done 🙌,Philosophie,
Roadmap Bilder,"December 14, 2022","December 12, 2022 2:43 PM",,Done 🙌,Work,
Text lesen und Aufgaben bearbeiten,"December 14, 2022","December 12, 2022 2:43 PM","Lies im Text den Abschnitt 3.2 Modus.
Wie unterscheiden sich Stanzels Erzählkategorien von denen Genettes?
Welchen Kategorien kann der Erzähler im “Weißen Band” nach Stanzel und Genette zugeordnet werden?",Done 🙌,Deutsch,
Klausurthemen lernen,"December 16, 2022","December 12, 2022 2:43 PM",,Done 🙌,Mathe,
Shizzy Hub,"December 18, 2022","December 12, 2022 2:43 PM",,Done 🙌,Work,
Aufgabenordner 12 Aufgaben wiederholen,"December 19, 2022","December 12, 2022 10:36 PM",,Done 🙌,Informatik,
Klausurthemen lernen,"December 20, 2022","December 15, 2022 9:20 AM",,Done 🙌,PGW,
Plakate erste Entwürfe,"January 9, 2023 18:00","January 9, 2023 1:37 PM",,Done 🙌,Work,
Lego-Set,"January 10, 2023","January 9, 2023 1:38 PM",,Done 🙌,Work,
"Listening ","January 12, 2023 15:30","January 9, 2023 1:32 PM",,Done 🙌,Englisch,https://ght-hh.de/iserv/exercise/show/10909
Konzeptpapier Semesterarbeit,"January 13, 2023","January 10, 2023 5:57 PM",,Done 🙌,Kunst,
Bilder zurechtschneiden,"January 19, 2023","January 12, 2023 5:34 PM",,Done 🙌,Work,
