Name,Epoche,Text
Drama,Beide Epochen,
Geniebegriff,Sturm und Drang,
ganzer Naturmensch,Sturm und Drang,
Briefroman,Beide Epochen,
Selbstentfaltung,Beide Epochen,
Friedrich Schiller,Beide Epochen,
sapere aude,Aufklärung,"Wage es, weise zu sein! - Immanuel Kant
→ Leitspruch der Auflärung"
Johann Wolfgang von Goethe,Sturm und Drang,
Emanzipation des Bürgertums,Beide Epochen,
Kritik an feudaler Weltordnung,Beide Epochen,Adelige Grundherren erhielten von höhergestellten Feudalherren Grund und Boden zur Bewirtschaftung. Als Gegenleistung für dieses sogenannte Lehen mussten Kriegsdienste erbracht werden.
rationales Weltbild,Beide Epochen,Erweiterung rationalen Denkens im Sturm und Drang
Fabel,Aufklärung,
“Nathan der Weise”,Aufklärung,Werk von Lessing (1779)
Vernunft,Aufklärung,
Naturwissenschaften,Aufklärung,
Mitgefühl in Drama,Aufklärung,"Motive: Furcht und Mitleid
Konflikte zielen darauf ab, Furcht und Mitleid bei Zuschauern zu erregen."
Naturdarstellungen,Sturm und Drang,In der Aufklärung spielt hingegen die Nachahmung der Natur eine wichtige Rolle.
Melancholie,Sturm und Drang,"Charaktere werden, neben expressiv und zerrissen, melancholisch dargestellt."
Humanität,Beide Epochen,"Aufklärung:
Betonung der Bedeutung des Individuums und dessen Rechte

Sturm und Drang:
Kritik an den gesellschaftlichen Verhältnissen und die Unterdrückung des Individuums. Fokus eher auf individuelle Freiheit und Emotionen.

→ Aufkläung ist stärker mit der Humanität verbunden."
expressive rhetorische Stilmittel,Sturm und Drang,
“Die Leiden des jungen Werther”,Sturm und Drang,Briefroman von J. W. Goethe (1774)
Gotthold Emphraim Lessing,Aufklärung,
Tugend,Aufklärung,tugendhafte Figuren im Kontrast zu Herrschaft und Willkür (Konflikt)
prodesse et delectare,Aufklärung,nützen und erfreuen
Moral,Aufklärung,Der Sturm und Drang war hingegen gegen veraltete Moralvorstellungen. Z. B. alt / jung Konflikt
Bildung,Aufklärung,z.B. Lehrgedicht
Johann Christoph Gottsched,Aufklärung,
Handlung im Drama muss wahrscheinlich sein,Aufklärung,"Die Aufklärung war geprägt von einem rationalen und wissenschaftlichen Denken, das sich auch auf die Kunst und Literatur auswirkte.
Im Gegensatz dazu wurde im Sturm und Drang die Bedeutung von Emotionen und individueller Freiheit betont."
Hinwendung zum Diesseits,Aufklärung,"Bestand der Sinn des Lebens zuvor darin, sich auf ein Leben nach dem Tod vorzubereiten, erhält in der Aufklärung bereits das Leben im Diesseits ausreichend Sinn."
Regelpoetik,Aufklärung,
Verantwortung übernehmen,Aufklärung,Selbstverantwortung und Mündigkeit des Menschen
Dichter als Gelehrter und Lehrer,Aufklärung,
Bühne als Bildungsinstrument,Aufklärung,
Souveränitätsanspruch,Aufklärung,"Da der Adel nicht mehr zwingend benötigt wurden, meldeten die Bürger ihren eigen Souveränitätsanspruch an und beriefen sich dabei auf die Aufklärung."
Nützlichkeit,Aufklärung,
freie Poetik,Sturm und Drang,
gegen gesellschaftliche Normen,Sturm und Drang,Missachtung von gesellschaftlichen Regeln
gegen Adelsherrschaft,Sturm und Drang,"Konflikt zwischen adelige Willkür und bürgerliche Tugend
→ gegen Adelswillkür"
